id;dclass ;dname;define;clabel
106;http://purl.bioontology.org/ontology/MESH/D015620;Germinoma;Distinctive neoplastic disorders of histiocytes. Included are malignant neoplasms of MACROPHAGES and DENDRITIC CELLS.;Disorders, Malignant Histiocytic,Malignant Histiocytic Disorders,Histiocytic Disorder, Malignant,Malignant Histiocytic Disorder,Disorder, Malignant Histiocytic
107;http://purl.bioontology.org/ontology/MESH/D009368;Gestational Trophoblastic Disease;Experimental transplantation of neoplasms in laboratory animals for research purposes.;Transplantation, Neoplasm,Neoplasm Transplantations,Transplantations, Neoplasm
108;http://purl.bioontology.org/ontology/MESH/D018268;Glioma;A malignant neoplasm of the ADRENAL CORTEX. Adrenocortical carcinomas are unencapsulated anaplastic (ANAPLASIA) masses sometimes exceeding 20 cm or 200 g. They are more likely to be functional than nonfunctional, and produce ADRENAL CORTEX HORMONES that may result in hypercortisolism (CUSHING SYNDROME);Carcinomas, Adrenal Cortical,Adrenocortical Carcinomas,Carcinomas, Adrenocortical,Carcinoma, Adrenocortical,Carcinoma, Adrenal Cortical,Adrenal Cortical Carcinoma,Adrenal Cortical Carcinomas
109;http://purl.bioontology.org/ontology/MESH/D015689;Glomus Tumor;Transforming protein encoded by ras oncogenes. Point mutations in the cellular ras gene (c-ras) can also result in a mutant p21 protein that can transform mammalian cells. Oncogene protein p21(ras) has been directly implicated in human neoplasms, perhaps accounting for as much as 15-20% of all human tumors. This enzyme was formerly listed as EC 3.6.1.47.;p21 v-ras,p21 v H ras,p21(v-H-ras),p21 v-Ki-ras,ras Oncogene Product p21,v-ras, p21,v-Ki-ras, p21,p21 v Ha ras,v-Ha-ras, p21,v-H-ras, p21,p21(v-K-ras),p21 v-H-ras,ras Oncogene Protein p21,p21 v ras,p21 v-Ha-ras,p21 Transforming Viral Protein,p21(v-Ha-ras),p21(v-Ki-ras),p21 v Ki ras,ras Oncogene p21 Product
110;http://purl.bioontology.org/ontology/MESH/D019574;Glomus Tympanicum;Benign and malignant neoplasms that arise from the optic nerve or its sheath. OPTIC NERVE GLIOMA is the most common histologic type. Optic nerve neoplasms tend to cause unilateral visual loss and an afferent pupillary defect and may spread via neural pathways to the brain.;Benign Optic Nerve Tumor,Benign Optic Nerve Sheath Neoplasms,Optic Nerve Sheath Neoplasm,Malignant Optic Nerve Sheath Tumors,Optic Nerve Sheath Neoplasms, Malignant,Malignant Optic Nerve Tumor,Tumor, Benign, Optic Nerve,Benign Optic Nerve Sheath Tumors,Optic Nerve Sheath Tumors,Optic Nerve Sheath Tumors, Benign,Optic Nerve Tumor, Malignant,Neoplasm, Optic Nerve,Optic Nerve Neoplasm,Malignant Optic Nerve Neoplasm,Neoplasms, Optic Nerve,Tumor, Optic Nerve, Malignant,Malignant Optic Nerve Sheath Neoplasms,Neoplasm, Optic Nerve, Benign,Benign Optic Nerve Neoplasm,Neoplasm, Benign, Optic Nerve,Tumor, Optic Nerve, Benign,Tumor, Malignant, Optic Nerve,Optic Nerve Neoplasm, Benign,Optic Nerve Sheath Tumors, Malignant
111;http://purl.bioontology.org/ontology/MESH/D005910;Gonadal Dysgenesis, 46,XY;Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA;Glioma, Malignant,Mixed Gliomas,Gliomas, Mixed,Tumors, Glial Cell,Glioma, Mixed,Malignant Gliomas,Gliomas,Malignant Glioma,Tumor, Glial Cell,Glial Cell Tumors,Glial Cell Tumor,Gliomas, Malignant,Mixed Glioma
112;http://purl.bioontology.org/ontology/MESH/D002551;Gonadoblastoma;Neoplasms located in the brain ventricles, including the two lateral, the third, and the fourth ventricle. Ventricular tumors may be primary (e.g., CHOROID PLEXUS NEOPLASMS and GLIOMA, SUBEPENDYMAL), metastasize from distant organs, or occur as extensions of locally invasive tumors from adjacent brain structures.;Cerebroventricular Neoplasms,Ventricle Tumor, Cerebral,Ventricle Tumors, Cerebral,Cerebroventricular Neoplasm,Brain Ventricular Neoplasm,Tumor, Brain Ventricular,Ventricular Neoplasms, Brain,Intraventricular Neoplasm,Ventricular Neoplasm, Brain,Brain Ventricular Neoplasms,Neoplasm, Cerebral Ventricle,Neoplasm, Cerebroventricular,Neoplasms, Brain Ventricular,Cerebral Ventricle Tumors,Neoplasm, Brain Ventricular,Tumor, Cerebral Ventricle,Brain Ventricular Tumor,Tumors, Cerebral Ventricle,Cerebral Ventricle Tumor,Neoplasms, Ventricular, Brain,Neoplasms, Cerebroventricular,Neoplasms, Intraventricular,Tumors, Brain Ventricular,Neoplasm, Intraventricular,Brain Ventricular Tumors,Ventricular Tumors, Brain,Neoplasms, Cerebral Ventricle,Cerebral Ventricle Neoplasm,Ventricular Tumor, Brain,Intraventricular Neoplasms
113;http://purl.bioontology.org/ontology/MESH/D018204;Goserelin;Neoplasms developing from some structure of the connective and subcutaneous tissue. The concept does not refer to neoplasms located in connective or soft tissue.;Connective and Soft Tissue Neoplasms
114;http://purl.bioontology.org/ontology/MESH/D003390;Granular Cell Tumor;Benign and malignant neoplasms that arise from one or more of the twelve cranial nerves.;Benign Cranial Nerve Neoplasms,Neoplasm, Cranial Nerve,Cranial Neuroma, Benign,Benign Cranial Nerve Tumors,Neoplasms, Cranial Nerve,Cranial Nerve Tumors, Benign,Tumors, Cranial Nerve, Benign,Benign Cranial Neuroma,Cranial Neuromas, Benign,Tumors, Cranial Nerve, Malignant,Benign Cranial Neuromas,Neuromas, Benign Cranial,Neuroma, Benign Cranial,Cranial Nerve Neoplasms, Malignant,Cranial Nerve Tumors, Malignant,Neoplasms, Cranial Nerve, Benign,Cranial Nerve Neoplasm,Malignant Cranial Nerve Tumors,Malignant Cranial Nerve Neoplasms,Cranial Nerve Neoplasms, Benign,Neoplasms, Cranial Nerve, Malignant
115;http://purl.bioontology.org/ontology/MESH/D000794;Granulosa Cell Tumor;A vascular, horny neoplasm of the skin characterized by TELANGIECTASIS and secondary epithelial changes including acanthosis and hyperkeratosis.;Angiokeratomas
116;http://purl.bioontology.org/ontology/MESH/D050763;Hamartoma;An INK4 cyclin-dependent kinase inhibitor containing five ANKYRIN-LIKE REPEATS. Aberrant expression of this protein has been associated with deregulated EPITHELIAL CELL growth, organ enlargement, and a variety of NEOPLASMS.;Cyclin-Dependent Kinase Inhibitor 2C,Cyclin Dependent Kinase Inhibitor p18,CDKN2C Protein,Cyclin Dependent Kinase Inhibitor 2C,p18 CDK6 Inhibitor,CDK6-Associated Protein p18,p18, CDK6-Associated Protein,p18INK4c Protein,CDK6 Associated Protein p18,CDK6 Inhibitor, p18,INK4C Protein
117;http://purl.bioontology.org/ontology/MESH/D009383;Hemangioendothelioma;Neoplasms composed of vascular tissue. This concept does not refer to neoplasms located in blood vessels.;Vascular Tissue Neoplasm,Blood Vessel Tumors,Tumors, Blood Vessel,Blood Vessel Tumor,Neoplasm, Vascular Tissue,Vascular Tissue Neoplasms,Tumor, Blood Vessel
118;http://purl.bioontology.org/ontology/MESH/D018311;Hemangiosarcoma;An ovarian neoplasm composed of LUTEAL CELLS derived from luteinized GRANULOSA CELLS and THECA CELLS. Luteomas respond to GONADOTROPINS, and vary in their hormone production (PROGESTERONE;Gestational Luteoma,Luteoma, Gestational,Luteinoma,Luteoma, Pregnancy,Pregnancy Luteoma,Luteomas,Luteoma of Pregnancy,Luteomas, Gestational,Gestational Luteomas,Pregnancy Luteomas,Luteomas, Pregnancy
119;http://purl.bioontology.org/ontology/MESH/D006106;Hematologic Neoplasms;A neoplasm composed entirely of GRANULOSA CELLS, occurring mostly in the OVARY. In the adult form, it may contain some THECA CELLS. This tumor often produces ESTRADIOL and INHIBIN. The excess estrogen exposure can lead to other malignancies in women and PRECOCIOUS PUBERTY in girls. In rare cases, granulosa cell tumors have been identified in the TESTES.;Tumors, Granulosa Cell,Tumor, Granulosa Cell,Cancer of Granulosa Cells,Cells Cancers, Granulosa,Granulosa Cells Cancer,Cancer, Granulosa Cell,Cell Cancers, Granulosa,Granulosa Cell Tumors,Cells Cancer, Granulosa,Granulosa Cell Cancers,Cancers, Granulosa Cell,Granulosa Cell Cancer,Granulosa Cells Cancers,Cell Cancer, Granulosa
120;http://purl.bioontology.org/ontology/MESH/D014752;Hematopoietic Stem Cell Transplantation;A gas that has been used as an aerosol propellant and is the starting material for polyvinyl resins. Toxicity studies have shown various adverse effects, particularly the occurrence of liver neoplasms.;Chloride, Vinyl,Chloroethylene,Ethene, chloro-
121;http://purl.bioontology.org/ontology/MESH/D024221;Hematoporphyrins;Clinical protocols used to inhibit the growth or spread of NEOPLASMS.;Cancer Treatment Protocols,Protocols, Antineoplastic,Antineoplastic Protocol,Cancer Treatment Protocol,Protocol, Antineoplastic,Treatment Protocols, Cancer,Protocol, Cancer Treatment,Treatment Protocol, Cancer,Protocols, Cancer Treatment
122;http://purl.bioontology.org/ontology/MESH/D007984;Hemobilia;Gonadal interstitial or stromal cell neoplasm composed of only LEYDIG CELLS. These tumors may produce one or more of the steroid hormones such as ANDROGENS;Tumor, Interstitial Cell,Tumors, Interstitial Cell,Tumor, Leydig Cell,Interstitial Cell Tumors,Interstitial Cell Tumor
123;http://purl.bioontology.org/ontology/MESH/D002273;Hepatoblastoma;Substances that increase the risk of NEOPLASMS in humans or animals. Both genotoxic chemicals, which affect DNA directly, and nongenotoxic chemicals, which induce neoplasms by other mechanism, are included.;Tumor Promoters,Promoters, Tumor,Tumor Initiators,Initiators, Tumor,Oncogens
124;http://purl.bioontology.org/ontology/MESH/D020431;Histiocytic Disorders, Malignant;Diseases of the first cranial (olfactory) nerve, which usually feature anosmia or other alterations in the sense of smell and taste. Anosmia may be associated with NEOPLASMS;First Cranial Nerve Diseases,Cranial Nerve I Disorders,Cranial Nerve I Diseases,Olfactory Nerve Disease
125;http://purl.bioontology.org/ontology/MESH/D018218;Histiocytic Sarcoma;Neoplasms composed of fibrous tissue, the ordinary connective tissue of the body, made up largely of yellow or white fibers. The concept does not refer to neoplasms located in fibrous tissue.;Neoplasm, Fibrous Tissue,Fibrous Tissue Neoplasms,Fibrous Tissue Neoplasm
126;http://purl.bioontology.org/ontology/MESH/D012625;Histiocytoma;Diseases of the sebaceous glands such as sebaceous hyperplasia and sebaceous cell carcinoma (SEBACEOUS GLAND NEOPLASMS).;Disease, Sebaceous Gland,Gland Diseases, Sebaceous,Diseases, Sebaceous Gland,Sebaceous Gland Disease,Gland Disease, Sebaceous
127;http://purl.bioontology.org/ontology/MESH/D018193;Histiocytoma, Malignant Fibrous;Neoplasms composed of more than one type of neoplastic tissue.;Complex and Mixed Neoplasms
128;http://purl.bioontology.org/ontology/MESH/D018265;Hormones, Ectopic;A thyroid neoplasm of mixed papillary and follicular arrangement. Its biological behavior and prognosis is the same as that of a papillary adenocarcinoma of the thyroid. (From DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1271);
129;http://purl.bioontology.org/ontology/MESH/D007426;Human papillomavirus 31;"Genes of IAP elements (a family of retrovirus-like genetic elements) which code for virus-like particles (IAPs) found regularly in rodent early embryos. (""Intracisternal"" refers to the cisternae of the endoplasmic reticulum.) Under certain circumstances, such as DNA hypomethylation they are transcribed. Their transcripts are found in a variety of neoplasms, including plasmacytomas, neuroblastoma, rhabdomyosarcomas, teratocarcinomas, and colon carcinomas.";Elements, IAP,IAP Elements,Intracisternal A Particle Elements,Gene, Intracisternal A-Particle,Intracisternal A-Particle Element,A-Particle Gene, Intracisternal,Element, IAP,Elements, Intracisternal A-Particle,Genes, Intracisternal A Particle,A-Particle Element, Intracisternal,A-Particle Genes, Intracisternal,Element, Intracisternal A-Particle,Intracisternal A-Particle Gene,Intracisternal A-Particle Genes,Gene, Intracisternal A Particle,A-Particle Elements, Intracisternal,IAP Element,Intracisternal A Particle Genes,Intracisternal A-Particle Elements
130;http://purl.bioontology.org/ontology/MESH/D054391;Hyaluronoglucosaminidase;An extranodal neoplasm, usually possessing an NK-cell phenotype and associated with EPSTEIN-BARR VIRUS. These lymphomas exhibit a broad morphologic spectrum, frequent necrosis, angioinvasion, and most commonly present in the midfacial region, but also in other extranodal sites.;Extranodal NK T Cell Lymphoma, Nasal Type,Extranodal NK-T-Cell Lymphoma,Extranodal NK-T-Cell Lymphoma, Nasal Type,Extranodal NK T Cell Lymphoma, Nasal and Nasal Type,Extranodal NK T Cell Lymphoma,NK-T-Cell Lymphoma, Extranodal,Lymphoma, Extranodal NK T Cell,NK-T-Cell Lymphomas, Extranodal,Lymphomas, Extranodal NK-T-Cell,Extranodal NK-T-Cell Lymphoma, Nasal and Nasal-Type,Extranodal NK T Cell Lymphoma, Nasal,Extranodal NK-T-Cell Lymphoma, Nasal,Extranodal NK-T-Cell Lymphomas
131;http://purl.bioontology.org/ontology/MESH/D059648;Hyperparathyroidism;Intercellular signaling peptides that were originally characterized by their ability to suppress NEOPLASM METASTASIS. Kisspeptins have since been found to play an important role in the neuroendocrine regulation of REPRODUCTION.;Kisspeptin-1,Metastasis Suppressor, KiSS-1,KiSS-1, Metastasis Suppressor,Metastasis Suppressor KiSS 1,Metastins,Kisspeptin 1,KiSS 1 Metastasis Suppressor,Metastasis Suppressor KiSS-1,KiSS-1 Metastasis Suppressor
132;http://purl.bioontology.org/ontology/MESH/D014411;Hyperparathyroidism, Primary;Highly proliferative, self-renewing, and colony-forming stem cells which give rise to NEOPLASMS.;Stem Cells, Cancer,Stem Cells, Neoplastic,Stem Cell, Cancer,Neoplastic Colony-Forming Units,Colony-Forming Unit, Neoplastic,Initiating Cell, Tumor,Cells, Tumor Initiating,Neoplastic Colony Forming Units,Cells, Tumor Stem,Neoplastic Colony-Forming Unit,Cell, Cancer Stem,Cell, Neoplastic Stem,Cells, Cancer Stem,Tumor Stem Cells,Tumor Initiating Cells,Units, Neoplastic Colony-Forming,Cancer Stem Cells,Cell, Tumor Initiating,Tumor Initiating Cell,Colony Forming Units, Neoplastic,Unit, Neoplastic Colony-Forming,Colony-Forming Units, Neoplastic,Stem Cells, Tumor,Cancer Stem Cell,Tumor Stem Cell,Neoplastic Stem Cell,Cell, Tumor Stem,Stem Cell, Tumor,Cells, Neoplastic Stem,Initiating Cells, Tumor,Stem Cell, Neoplastic
133;http://purl.bioontology.org/ontology/MESH/D016754;Hypothalamic Neoplasms;A technique for the treatment of neoplasms, especially gliomas and melanomas in which boron-10, an isotope, is introduced into the target cells followed by irradiation with thermal neutrons.;Therapy, Boron Neutron Capture,Boron-Neutron Capture Therapy,Neutron Capture Therapy, Boron,Therapy, Boron-Neutron Capture
134;http://purl.bioontology.org/ontology/MESH/D014048;Idarubicin;A phenothiazine that has been used as a hemostatic, a biological stain, and a dye for wool and silk. Tolonium chloride has also been used as a diagnostic aid for oral and gastric neoplasms and in the identification of the parathyroid gland in thyroid surgery.;Blue O, Toluidine,CI-52040,Chloride, Tolonium,Toluidine Blue O,CI 52040,Toluidine Blue,CI52040,Phenothiazin-5-ium, 3-amino-7-(dimethylamino)-2-methyl-, chloride,Blue, Toluidine
135;http://purl.bioontology.org/ontology/MESH/D018249;Inappropriate ADH Syndrome;A subtype of follicular adenoma in the THYROID GLAND. The Hurthle cell tumor is composed predominantly (at least 75%) or entirely of oxyphil cells. Hurthle cell neoplasms can be divided into benign and malignant categories. Malignant Hurthle cell carcinoma usually appear in patients over 60 years of age and are radioresistant.|A usually benign glandular tumor composed of oxyphil cells, large cells with small irregular nuclei and dense acidophilic granules due to the presence of abundant MITOCHONDRIA. Oxyphil cells, also known as oncocytes, are found in oncocytomas of the kidney, salivary glands, and endocrine glands. In the thyroid gland, oxyphil cells are known as Hurthle cells and Askanazy cells.;Oxyphilic Adenoma,Huerthle Cell Tumor,Oncocytoma,Hurthle Cell Tumor
136;http://purl.bioontology.org/ontology/MESH/D013584;Inhibitor of Differentiation Protein 1;A malignant neoplasm arising from tenosynovial tissue of the joints and in synovial cells of tendons and bursae. The legs are the most common site, but the tumor can occur in the abdominal wall and other trunk muscles. There are two recognized types: the monophasic (characterized by sheaths of monotonous spindle cells) and the biphasic (characterized by slit-like spaces or clefts within the tumor, lined by cuboidal or tall columnar epithelial cells). These sarcomas occur most commonly in the second and fourth decades of life. (From Dorland, 27th ed;Synovioma,Sarcomas, Synovial,Synovial Sarcomas,Synoviomas,Synovial Sarcoma
137;http://purl.bioontology.org/ontology/MESH/D009371;Inhibitor of Growth Protein 1;A collective term for precoordinated organ/neoplasm headings locating neoplasms by organ, as BRAIN NEOPLASMS;Neoplasm Site,Neoplasms by Sites,Neoplasm Sites,Site, Neoplasm,Sites, Neoplasm
138;http://purl.bioontology.org/ontology/MESH/D009456;Jaw Neoplasms;An autosomal dominant inherited disorder (with a high frequency of spontaneous mutations) that features developmental changes in the nervous system, muscles, bones, and skin, most notably in tissue derived from the embryonic NEURAL CREST. Multiple hyperpigmented skin lesions and subcutaneous tumors are the hallmark of this disease. Peripheral and central nervous system neoplasms occur frequently, especially OPTIC NERVE GLIOMA and NEUROFIBROSARCOMA. NF1 is caused by mutations which inactivate the NF1 gene (GENES, NEUROFIBROMATOSIS 1) on chromosome 17q. The incidence of learning disabilities is also elevated in this condition. (From Adams et al., Principles of Neurology, 6th ed, pp1014-18) There is overlap of clinical features with NOONAN SYNDROME in a syndrome called neurofibromatosis-Noonan syndrome. Both the PTPN11 and NF1 gene products are involved in the SIGNAL TRANSDUCTION pathway of Ras (RAS PROTEINS).|A syndrome characterized by the presence of PULMONARY STENOSIS;von Recklinghausen Disease,Neurofibromatoses, Type I,Type I Neurofibromatoses,Recklinghausen's Disease of Nerve,Syndrome, Watson,Neurofibromatosis, Peripheral Type,Neurofibromatosis, Peripheral,Neurofibromatosis, Peripheral, NF1,Recklinghausen Disease, Nerve,Molluscum Fibrosum,Neurofibromatosis I,Neurofibromatosis Type 1,Recklinghausens Disease of Nerve,Recklinghausen Disease of Nerve,Peripheral Neurofibromatoses,Cafe au Lait Spots with Pulmonic Stenosis,Neurofibromatosis Type I,von Recklinghausen's Disease,Pulmonic Stenosis with Cafe-au-Lait Spots,Pulmonic Stenosis with Cafe au Lait Spots,Watson Syndrome,Neurofibromatosis, Type 1,von Recklinghausens Disease,Neurofibromatoses, Peripheral,Neurofibromatosis, Peripheral, NF 1,Type 1, Neurofibromatosis,Neurofibromatosis, Type I,NF1 (Neurofibromatosis 1),Cafe-au-Lait Spots with Pulmonic Stenosis,Type I, Neurofibromatosis,Peripheral Neurofibromatosis,Type 1 Neurofibromatosis
139;http://purl.bioontology.org/ontology/MESH/D015840;Kangai-1 Protein;Diseases of the oculomotor nerve or nucleus that result in weakness or paralysis of the superior rectus, inferior rectus, medial rectus, inferior oblique, or levator palpebrae muscles, or impaired parasympathetic innervation to the pupil. With a complete oculomotor palsy, the eyelid will be paralyzed, the eye will be in an abducted and inferior position, and the pupil will be markedly dilated. Commonly associated conditions include neoplasms, CRANIOCEREBRAL TRAUMA, ischemia (especially in association with DIABETES MELLITUS), and aneurysmal compression. (From Adams et al., Principles of Neurology, 6th ed, p270);Paralyses, Oculomotor Nerve,Palsies, Total Third-Nerve,Palsies, Oculomotor Nerve,Third-Nerve Paralyses,Partial Third-Nerve Palsies,Third-Nerve Paralysis,Nerve Diseases, Oculomotor,Oculomotor Neuropathies,Palsy, Oculomotor Nerve,Third-Nerve Palsy, Partial,Third-Nerve Palsy, Total,Third-Nerve Palsies, Partial,Paralyses, Third-Nerve,Oculomotor Nerve Disorders,Cranial Nerve III Diseases,Third Nerve Palsy,Palsies, Partial Third-Nerve,Palsy, Total Third-Nerve,Nerve Palsies, Oculomotor,Palsy, Partial Third-Nerve,Neuropathies, Oculomotor,Third Cranial Nerve Diseases,Nerve Disorders, Oculomotor,Nerve Paralysis, Oculomotor,Nerve Disease, Oculomotor,Third-Nerve Palsy,Partial Third-Nerve Palsy,Oculomotor Nerve Paralysis,Nerve Paralyses, Oculomotor,Oculomotor Nerve Palsy,Oculomotor Nerve Disease,Oculomotor Nerve Paralyses,Nerve Palsy, Oculomotor,Total Third-Nerve Palsy,Total Third-Nerve Palsies,Paralysis, Third-Nerve,Neuropathy, Oculomotor,Palsy, Third-Nerve,Palsies, Third-Nerve,Third-Nerve Palsies,Nerve Disorder, Oculomotor,Oculomotor Nerve Disorder,Oculomotor Neuropathy,Paralysis, Oculomotor Nerve,Total Third Nerve Palsy,Oculomotor Nerve Palsies,Third-Nerve Palsies, Total,Partial Third Nerve Palsy,Third Nerve Paralysis
140;http://purl.bioontology.org/ontology/MESH/D051926;Kisspeptins;A widely distributed cell surface transmembrane glycoprotein characterized by extracellular IMMUNOGLOBULIN DOMAINS. It stimulates the synthesis of MATRIX METALLOPROTEINASES and is found at high levels on the surface of malignant NEOPLASMS where it may play a role as a mediator of malignant cell behavior.;CD147 Antigen,CD147 Antigens,Antigens, CD147,Emmprin,Extracellular Matrix Metalloproteinase Inducer (EMMPRIN),Emmprin Protein,Basigin Protein,Antigen, CD147
141;http://purl.bioontology.org/ontology/MESH/D016889;Langerhans Cell Sarcoma;Tumors or cancer of ENDOMETRIUM, the mucous lining of the UTERUS. These neoplasms can be benign or malignant. Their classification and grading are based on the various cell types and the percent of undifferentiated cells.;Cancer of the Endometrium,Endometrial Cancers,Endometrium Carcinomas,Cancers, Endometrium,Endometrium Cancers,Neoplasms, Endometrial,Endometrial Neoplasm,Endometrial Cancer,Cancer, Endometrial,Endometrial Carcinoma,Cancer of Endometrium,Carcinomas, Endometrial,Endometrial Carcinomas,Neoplasm, Endometrial,Cancer, Endometrium,Carcinoma, Endometrial,Endometrium Carcinoma,Cancers, Endometrial,Endometrium Cancer,Carcinoma of Endometrium
142;http://purl.bioontology.org/ontology/MESH/D054890;Leukemia, Prolymphocytic, B-Cell;Animal form of fatty acid synthase which is encoded by a single gene and consists of seven catalytic domains and is functional as a homodimer. It is overexpressed in some NEOPLASMS and is a target in humans of some ANTINEOPLASTIC AGENTS and some ANTI-OBESITY AGENTS.;Fatty Acid Synthase, Mammalian,Fatty Acid Synthase, Animal Form
143;http://purl.bioontology.org/ontology/MESH/D055655;Leydig Cell Tumor;An activating NK cell lectin-like receptor subfamily that regulates immune responses to INFECTION and NEOPLASMS. Members of this subfamily generally occur as homodimers.;NKG2D Receptor,Antigen, CD314,NK Cell Lectin Like Receptor Subfamily K,NK Cell Receptor D,NKG2-D Receptor,Receptor, NKG2D,Killer Cell Lectin-Like Receptor Subfamily K, Member 1,CD314 Antigen,Killer Cell Lectin Like Receptor Subfamily K, Member 1,NK Cell Lectin Like Receptor Subfamily K, Member 1,NK Cell Lectin-Like Receptor Subfamily K, Member 1,NKG2 D Receptor,Killer Cell Lectin-Like Receptor Subfamily K,Killer Cell Lectin Like Receptor Subfamily K,Receptor, NKG2-D
144;http://purl.bioontology.org/ontology/MESH/D001932;Li-Fraumeni Syndrome;Neoplasms of the intracranial components of the central nervous system, including the cerebral hemispheres, basal ganglia, hypothalamus, thalamus, brain stem, and cerebellum. Brain neoplasms are subdivided into primary (originating from brain tissue) and secondary (i.e., metastatic) forms. Primary neoplasms are subdivided into benign and malignant forms. In general, brain tumors may also be classified by age of onset, histologic type, or presenting location in the brain.;Primary Brain Tumors,Neoplasms, Intracranial,Primary Malignant Brain Tumors,Benign Brain Neoplasms,Recurrent Brain Tumor,Brain Tumors,Brain Neoplasms, Benign,Recurrent Brain Tumors,Cancer of Brain,Primary Brain Tumor,Malignant Neoplasm, Brain,Malignant Brain Neoplasms,Brain Neoplasm, Benign,Primary Brain Neoplasms,Brain Benign Neoplasms,Brain Tumors, Recurrent,Tumor, Brain,Malignant Brain Neoplasm,Primary Brain Neoplasm,Neoplasms, Brain,Brain Neoplasm, Primary,Neoplasms, Brain, Malignant,Brain Neoplasm, Malignant,Brain Tumor, Primary,Neoplasms, Brain, Benign,Neoplasms, Brain, Primary,Brain Neoplasms, Primary,Benign Neoplasm, Brain,Brain Tumors, Primary,Neoplasm, Intracranial,Brain Neoplasm,Cancers, Brain,Tumors, Brain,Brain Malignant Neoplasms,Brain Neoplasms, Malignant, Primary,Neoplasm, Brain,Cancer, Brain,Brain Benign Neoplasm,Intracranial Neoplasms,Benign Neoplasms, Brain,Malignant Neoplasms, Brain,Brain Neoplasms, Primary Malignant,Malignant Primary Brain Tumors,Cancer of the Brain,Benign Brain Neoplasm,Malignant Primary Brain Neoplasms,Brain Malignant Neoplasm,Intracranial Neoplasm,Brain Cancers,Brain Neoplasms, Malignant,Brain Tumor, Recurrent,Brain Cancer,Primary Malignant Brain Neoplasms,Brain Tumor
145;http://purl.bioontology.org/ontology/MESH/D016864;Light Coagulation;Rare autosomal dominant syndrome characterized by mesenchymal and epithelial neoplasms at multiple sites. MUTATION of the p53 tumor suppressor gene, a component of the DNA DAMAGE response pathway, apparently predisposes family members who inherit it to develop certain cancers. The spectrum of cancers in the syndrome was shown to include, in addition to BREAST CANCER and soft tissue sarcomas (SARCOMA);Li Fraumeni Syndrome
146;http://purl.bioontology.org/ontology/MESH/D044584;Limb Salvage;Malignant neoplasms involving the ductal systems of any of a number of organs, such as the MAMMARY GLANDS, the PANCREAS, the PROSTATE, or the LACRIMAL GLAND.;Ductal Carcinoma,Carcinomas, Ductal,Ductal Carcinomas
147;http://purl.bioontology.org/ontology/MESH/D064726;Luteoma;Breast neoplasms that do not express ESTROGEN RECEPTORS;Triple-Negative Breast Cancers,Triple-Negative Breast Cancer,ER Negative PR Negative HER2 Negative Breast Neoplasms,Triple-Negative Breast Neoplasms,ER-Negative PR-Negative HER2-Negative Breast Neoplasms,Triple Negative Breast Cancer,ER Negative PR Negative HER2 Negative Breast Cancer,ER-Negative PR-Negative HER2-Negative Breast Cancer,Triple-Negative Breast Neoplasm,Breast Neoplasms, Triple-Negative,Breast Cancer, Triple-Negative,Breast Neoplasm, Triple-Negative,Triple Negative Breast Neoplasm,Breast Cancers, Triple-Negative
148;http://purl.bioontology.org/ontology/MESH/D010997;Lymphatic Metastasis;Neoplasms of the thin serous membrane that envelopes the lungs and lines the thoracic cavity. Pleural neoplasms are exceedingly rare and are usually not diagnosed until they are advanced because in the early stages they produce no symptoms.;Neoplasms, Pleural,Neoplasm, Pleural,Pleural Neoplasm
149;http://purl.bioontology.org/ontology/MESH/D017319;Lymphatic Vessel Tumors;Drugs that are pharmacologically inactive but when exposed to ultraviolet radiation or sunlight are converted to their active metabolite to produce a beneficial reaction affecting the diseased tissue. These compounds can be administered topically or systemically and have been used therapeutically to treat psoriasis and various types of neoplasms.;Effects, Photosensitizing,Photosensitizers,Photosensitizing Effects,Agents, Photosensitizing,Photosensitizing Effect,Effect, Photosensitizing
150;http://purl.bioontology.org/ontology/MESH/D015862;Lymphoma, Extranodal NK-T-Cell;Disorders of the choroid including hereditary choroidal diseases, neoplasms, and other abnormalities of the vascular layer of the uvea.;Choroid Disease,Choroidal Disease,Disease, Choroid,Diseases, Choroid,Disease, Choroidal,Diseases, Choroidal,Choroidal Diseases
151;http://purl.bioontology.org/ontology/MESH/D054752;Lymphoma, Primary Cutaneous Anaplastic Large Cell;Rare malignant neoplasm of dendritic LANGERHANS CELLS exhibiting atypical cytology, frequent mitoses, and aggressive clinical behavior. They can be distinguished from other histiocytic and dendritic proliferations by immunohistochemical and ultrastructure studies. Cytologically benign proliferations of Langerhans cells are called LANGERHANS CELL HISTIOCYTOSIS.;Sarcoma, Langerhans Cell,Langerhans Cell Sarcomas,Sarcomas, Langerhans Cell
